PTX Instruction ,eSESC InstOpcode,jumpLabel,decompose
abs,iAALU,0,0
add,iAALU,0,0
addc,iAALU,0,0
and,iAALU,0,0
bfe,iAALU,0,0
bfi,iAALU,0,0
bfind,iAALU,0,0
brev,iAALU,0,0
clz,iAALU,0,0
cnot,iAALU,0,0
cvt,iAALU,0,0
cvta,iAALU,0,0
max,iAALU,0,0
min,iAALU,0,0
neg,iAALU,0,0
not,iAALU,0,0
or,iAALU,0,0
popc,iAALU,0,0
prmt,iAALU,0,0
sad,iAALU,0,0
selp,iAALU,0,0
set,iAALU,0,0
setp,iAALU,0,0
shl,iAALU,0,0
shr,iAALU,0,0
slct,iAALU,0,0
sub,iAALU,0,0
subc,iAALU,0,0
vabsdiff,iAALU,0,0
vadd,iAALU,0,0
vmax,iAALU,0,0
vmin,iAALU,0,0
vset,iAALU,0,0
vshl,iAALU,0,0
vshr,iAALU,0,0
vsub,iAALU,0,0
xor,iAALU,0,0
vmad,iAALU + iCALU_MULT,0,1
mad,iAALU + iCALU_MULT,0,1
mad24,iAALU + iCALU_MULT,0,1
fma,iAALU + iCALU_MULT,0,1
bra,iBALU_BRANCH,1,0
call,iBALU_CALL,0,0
ret,iBALU_RET,0,0
div,iCALU_DIV,0,0
rem,iCALU_DIV,0,0
cos,iCALU_FPDIV,0,0
ex2,iCALU_FPDIV,0,0
lg2,iCALU_FPDIV,0,0
rcp,iCALU_FPDIV,0,0
sin,iCALU_FPDIV,0,0
sqrt,iCALU_FPDIV,0,0
rsqrt,iCALU_FPDIV,0,0
mul,iCALU_MULT,0,0
mul24,iCALU_MULT,0,0
ld,iLALU_LD,0,0
ldu,iLALU_LD,0,0
suld,iLALU_LD,0,0
tex,iLALU_LD,0,0
prefetch,iLALU_LD,0,0
prefetchu,iLALU_LD,0,0
red,iLALU_LD,0,0
sured,iLALU_LD,0,0
atom,iRALU,0,0
bar,iRALU,0,0
brkpt,iRALU,0,0
exit,iAALU,0,0
isspacep,iRALU,0,0
membar,iRALU,0,0
pmevent,iRALU,0,0
suq,iRALU,0,0
trap,iRALU,0,0
txq,iRALU,0,0
vote,iRALU,0,0
st,iSALU_ST,0,0
sust,iSALU_ST,0,0
mov,iAALU,0,0
